order_id,product,category,price,quantity,date
1000,Coffee Mug,Lifestyle,7.99,1,2023-12-01
1001,Water Bottle,Lifestyle,9.99,1,2023-12-31
1002,Notebook,Stationery,3.49,2,2023-12-24
1003,Notebook,Stationery,3.49,4,2023-12-08
1004,Coffee Mug,Lifestyle,7.99,3,2023-12-20
1005,Headphones,Electronics,59.99,3,2023-12-08
1006,Phone Case,Electronics,15.99,5,2023-12-10
1007,Pen Set,Stationery,5.99,1,2023-12-14
1009,Water Bottle,Lifestyle,9.99,3,2023-12-17
1010,Coffee Mug,Lifestyle,7.99,1,2023-12-11
1011,Notebook,Stationery,3.49,3,2023-12-18
1012,Desk Lamp,Home,19.99,2,2023-12-04
1013,Headphones,Electronics,59.99,1,2023-12-24
1014,Wireless Mouse,Electronics,25.99,5,2023-12-27
1015,Notebook,Stationery,3.49,3,2023-12-18
1016,Pen Set,Stationery,5.99,2,2023-12-21
1017,Wireless Mouse,Electronics,25.99,2,2023-12-2
